datetime,open,high,low,close,volume
2026-05-14 13:00,12.3,12.3,12.3,12.3,1
2026-05-14 14:00,19.38,19.38,19.38,19.38,1
2026-05-14 15:00,28.37,28.37,28.37,28.37,1
2026-05-14 16:00,44.3,44.3,44.3,44.3,1
2026-05-14 17:00,26.08,26.08,26.08,26.08,1
2026-05-14 18:00,49.3,49.3,49.3,49.3,1
2026-05-14 19:00,69.14,69.14,69.14,69.14,1
2026-05-14 20:00,82.46,82.46,82.46,82.46,1
2026-05-14 21:00,60.31,60.31,60.31,60.31,1
2026-05-14 22:00,78.39,78.39,78.39,78.39,1
2026-05-14 23:00,89.28,89.28,89.28,89.28,1
2026-05-14 00:00,102.13,102.13,102.13,102.13,1
2026-05-14 01:00,95.76,95.76,95.76,95.76,1
2026-05-14 02:00,105.03,105.03,105.03,105.03,1
2026-05-14 03:00,114.02,114.02,114.02,114.02,1
2026-05-14 04:00,125.43,125.43,125.43,125.43,1
2026-05-14 05:00,118.34,118.34,118.34,118.34,1
2026-05-14 06:00,125.47,125.47,125.47,125.47,1
2026-05-14 07:00,133.5,133.5,133.5,133.5,1
2026-05-14 08:00,140.91,140.91,140.91,140.91,1
2026-05-14 09:00,138.75,138.75,138.75,138.75,1
2026-05-14 10:00,142.99,142.99,142.99,142.99,1
2026-05-14 11:00,147.06,147.06,147.06,147.06,1
2026-05-14 12:00,168.69,168.69,168.69,168.69,1
2026-05-14 13:00,148.38,148.38,148.38,148.38,1
2026-05-14 14:00,148.91,148.91,148.91,148.91,1
2026-05-14 15:00,145.41,145.41,145.41,145.41,1
2026-05-14 16:00,145.19,145.19,145.19,145.19,1
2026-05-14 17:00,146.69,146.69,146.69,146.69,1
2026-05-14 18:00,137.08,137.08,137.08,137.08,1
2026-05-14 19:00,135.07,135.07,135.07,135.07,1
2026-05-14 20:00,129.99,129.99,129.99,129.99,1
2026-05-14 21:00,134.09,134.09,134.09,134.09,1
2026-05-14 22:00,127.97,127.97,127.97,127.97,1
2026-05-14 23:00,123.68,123.68,123.68,123.68,1
2026-05-14 00:00,120.27,120.27,120.27,120.27,1
2026-05-15 01:00,135.7,135.7,135.7,135.7,1
2026-05-15 02:00,126.4,126.4,126.4,126.4,1
2026-05-15 03:00,117.06,117.06,117.06,117.06,1
2026-05-15 04:00,111.42,111.42,111.42,111.42,1
2026-05-15 05:00,119.59,119.59,119.59,119.59,1
2026-05-15 06:00,113.69,113.69,113.69,113.69,1
2026-05-15 07:00,114.13,114.13,114.13,114.13,1
2026-05-15 08:00,109.75,109.75,109.75,109.75,1
2026-05-15 09:00,115.0,115.0,115.0,115.0,1
2026-05-15 10:00,109.93,109.93,109.93,109.93,1
2026-05-15 11:00,108.05,108.05,108.05,108.05,1
2026-05-15 12:00,105.47,105.47,105.47,105.47,1
2026-05-15 13:00,107.22,107.22,107.22,107.22,1
2026-05-15 14:00,104.94,104.94,104.94,104.94,1
2026-05-15 15:00,106.9,106.9,106.9,106.9,1
2026-05-15 16:00,105.57,105.57,105.57,105.57,1
2026-05-15 17:00,105.7,105.7,105.7,105.7,1
2026-05-15 18:00,105.29,105.29,105.29,105.29,1
2026-05-15 19:00,105.29,105.29,105.29,105.29,1
2026-05-15 20:00,107.55,107.55,107.55,107.55,1
2026-05-15 21:00,103.96,103.96,103.96,103.96,1
2026-05-15 22:00,105.22,105.22,105.22,105.22,1
2026-05-15 23:00,105.36,105.36,105.36,105.36,1
2026-05-15 23:00,106.14,106.14,106.14,106.14,1
2026-05-15 01:00,110.75,110.75,110.75,110.75,1
2026-05-15 02:00,110.93,110.93,110.93,110.93,1
2026-05-15 03:00,110.42,110.42,110.42,110.42,1
2026-05-15 04:00,108.66,108.66,108.66,108.66,1
2026-05-15 05:00,114.44,114.44,114.44,114.44,1
2026-05-15 06:00,110.86,110.86,110.86,110.86,1
2026-05-15 07:00,107.25,107.25,107.25,107.25,1
2026-05-15 08:00,93.02,93.02,93.02,93.02,1
2026-05-15 09:00,106.84,106.84,106.84,106.84,1
2026-05-15 10:00,98.77,98.77,98.77,98.77,1
2026-05-15 11:00,90.72,90.72,90.72,90.72,1
2026-05-15 12:00,79.23,79.23,79.23,79.23,1
2026-05-15 13:00,90.87,90.87,90.87,90.87,1
2026-05-15 14:00,74.87,74.87,74.87,74.87,1
2026-05-15 15:00,50.91,50.91,50.91,50.91,1
2026-05-15 16:00,38.59,38.59,38.59,38.59,1
2026-05-15 17:00,49.31,49.31,49.31,49.31,1
2026-05-15 18:00,33.72,33.72,33.72,33.72,1
2026-05-15 19:00,31.11,31.11,31.11,31.11,1
2026-05-15 20:00,25.14,25.14,25.14,25.14,1
2026-05-15 21:00,32.26,32.26,32.26,32.26,1
2026-05-15 22:00,57.19,57.19,57.19,57.19,1
2026-05-15 23:00,23.42,23.42,23.42,23.42,1
2026-05-15 00:00,18.68,18.68,18.68,18.68,1
2026-05-15 01:00,28.72,28.72,28.72,28.72,1
2026-05-15 02:00,23.86,23.86,23.86,23.86,1
2026-05-15 03:00,19.3,19.3,19.3,19.3,1
2026-05-15 04:00,15.19,15.19,15.19,15.19,1
2026-05-15 05:00,18.39,18.39,18.39,18.39,1
2026-05-15 06:00,16.04,16.04,16.04,16.04,1
2026-05-15 07:00,13.67,13.67,13.67,13.67,1
2026-05-15 08:00,11.21,11.21,11.21,11.21,1
2026-05-15 09:00,13.02,13.02,13.02,13.02,1
2026-05-15 10:00,28.65,28.65,28.65,28.65,1
2026-05-15 11:00,15.62,15.62,15.62,15.62,1
2026-05-15 12:00,17.35,17.35,17.35,17.35,1
2026-05-15 13:00,10.12,10.12,10.12,10.12,1
2026-05-15 14:00,16.11,16.11,16.11,16.11,1
2026-05-15 15:00,20.89,20.89,20.89,20.89,1
2026-05-15 16:00,27.7,27.7,27.7,27.7,1
2026-05-15 17:00,15.84,15.84,15.84,15.84,1
2026-05-15 18:00,25.47,25.47,25.47,25.47,1
2026-05-15 19:00,34.56,34.56,34.56,34.56,1
2026-05-15 20:00,45.76,45.76,45.76,45.76,1
2026-05-15 21:00,36.97,36.97,36.97,36.97,1
2026-05-15 22:00,57.51,57.51,57.51,57.51,1
2026-05-15 23:00,82.17,82.17,82.17,82.17,1
2026-05-15 00:00,94.28,94.28,94.28,94.28,1
2026-05-15 01:00,81.22,81.22,81.22,81.22,1
2026-05-15 02:00,95.52,95.52,95.52,95.52,1
2026-05-15 03:00,112.51,112.51,112.51,112.51,1
2026-05-15 04:00,121.25,121.25,121.25,121.25,1
2026-05-15 05:00,111.76,111.76,111.76,111.76,1
2026-05-15 06:00,120.52,120.52,120.52,120.52,1
2026-05-15 07:00,128.94,128.94,128.94,128.94,1
2026-05-15 08:00,136.12,136.12,136.12,136.12,1
2026-05-15 09:00,134.17,134.17,134.17,134.17,1
2026-05-15 10:00,138.15,138.15,138.15,138.15,1
2026-05-15 11:00,141.35,141.35,141.35,141.35,1
